DATA;FORNECEDOR;DESTINO;ESTADO/MUNICIPIO;TIPO;QUANTIDADE;VALOR;DESTINATARIO;UF;DATA DE ENTREGA
19/04/2020;VYAIRE;RIO DE JANEIRO;ESTADO;UTI;40;2400000,00;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ;19/04/2020
22/04/2020;VYAIRE;RIO DE JANEIRO;ESTADO;UTI;20;1200000,00;LABORATÓRIO QUÍMICO FARMACÊUTICO DE AERONÁUTICA;RJ;23/04/2020
08/05/2020;MAGNAMED;RIO DE JANEIRO;ESTADO;UTI;25;1500000,00;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ;09/05/2020
08/05/2020;KTK;RIO DE JANEIRO;ESTADO;UTI;15;900000,00;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ;09/05/2020
09/05/2020;LEISTUNG;RIO DE JANEIRO;ESTADO;UTI;6;360000,00;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ;09/05/2020
09/05/2020;VYAIRE;RIO DE JANEIRO;ESTADO;UTI;1;60000,00;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ;09/05/2020
09/05/2020;VYAIRE;RIO DE JANEIRO;ESTADO;UTI;30;1800000,00;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ;09/05/2020
09/05/2020;MAGNAMED;RIO DE JANEIRO;ESTADO;UTI;8;480000,00;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ;09/05/2020
09/05/2020;MAGNAMED;RIO DE JANEIRO;ESTADO;TRANSPORTE;4;193160,00;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ;09/05/2020
09/05/2020;MAGNAMED;RIO DE JANEIRO;ESTADO;UTI;1;60000,00;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ;09/05/2020
16/05/2020;MAGNAMED;RIO DE JANEIRO;ESTADO;TRANSPORTE;10;482900,00;FIOCRUZ ;RJ;18/05/2020
16/05/2020;MAGNAMED;RIO DE JANEIRO;ESTADO;TRANSPORTE;10;482900,00;HOSPITAL GERAL DO BOM SUCESSO;RJ;18/05/2020
16/05/2020;MAGNAMED;RIO DE JANEIRO;MUNICIPIO;TRANSPORTE;11;531190,00;SECRETARIA MUNICIPAL DE SAUDE - RIO DE JANEIRO;RJ;18/05/2020
16/05/2020;KTK;RIO DE JANEIRO;ESTADO;UTI;10;600000,00;FIOCRUZ ;RJ;18/05/2020
17/05/2020;LEISTUNG;RIO DE JANEIRO;ESTADO;UTI;10;600000,00;HOSPITAL GERAL DO BOM SUCESSO;RJ;18/05/2020
17/05/2020;LEISTUNG;RIO DE JANEIRO;MUNICIPIO;UTI;5;300000,00;SECRETARIA MUNICIPAL DE SAUDE - RIO DE JANEIRO;RJ;18/05/2020
24/05/2020;KTK;RIO DE JANEIRO;ESTADO;TRANSPORTE;50;1000000,00;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ;25/05/2020
24/05/2020;KTK;RIO DE JANEIRO;ESTADO;TRANSPORTE;26;520000,00;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ;25/05/2020
24/05/2020;KTK;RIO DE JANEIRO;ESTADO;TRANSPORTE;24;480000,00;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ;25/05/2020
24/05/2020;MAGNAMED;RIO DE JANEIRO;ESTADO;TRANSPORTE;51;2462790,00;FIOCRUZ ;RJ;25/05/2020
24/05/2020;LEISTUNG/VYAIRE;RIO DE JANEIRO;ESTADO;UTI;20;1200000,00;LABORATÓRIO QUÍMICO FARMACÊUTICO DE AERONÁUTICA;RJ;25/05/2020
24/05/2020;KTK;RIO DE JANEIRO;ESTADO;UTI;10;600000,00;LABORATÓRIO QUÍMICO FARMACÊUTICO DE AERONÁUTICA;RJ;25/05/2020
24/05/2020;KTK/VAYIRE;RIO DE JANEIRO;ESTADO;UTI;5;300000,00;LABORATÓRIO QUÍMICO FARMACÊUTICO DE AERONÁUTICA;RJ;25/05/2020
29/05/2020;MAGNAMED;RIO DE JANEIRO;ESTADO;TRANSPORTE;10;482900,00;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ;30/05/2020
29/05/2020;MAGNAMED;RIO DE JANEIRO;ESTADO;TRANSPORTE;90;4346100,00;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ;30/05/2020
29/05/2020;KTK;RIO DE JANEIRO;ESTADO;UTI;30;1800000,00;FIOCRUZ ;RJ;30/05/2020
31/05/2020;WEG;RIO DE JANEIRO;ESTADO;UTI;15;900000,00;LABORATÓRIO QUÍMICO FARMACÊUTICO DE AERONÁUTICA;RJ;01/06/2020
31/05/2020;LEISTUNG;RIO DE JANEIRO;ESTADO;UTI;50;3000000,00;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ;01/06/2020
31/05/2020;LEISTUNG;RIO DE JANEIRO;ESTADO;UTI;50;3000000,00;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ;01/06/2020
08/06/2020;KTK;RIO DE JANEIRO;ESTADO;TRANSPORTE;50;1000000,00;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ;08/06/2020
08/06/2020;KTK;RIO DE JANEIRO;ESTADO;TRANSPORTE;50;1000000,00;ALMOXARIFADO ESTADUAL DE MEDICAMENTOS - RIO DE JANEIRO;RJ;08/06/2020
26/06/2020;MAGNAMED;RIO DE JANEIRO;MUNICIPIO;TRANSPORTE;2;96580,00;Secretaria Municipal de Saúde (BELFORD ROXO);RJ;02/07/2020
26/06/2020;KTK;RIO DE JANEIRO;MUNICIPIO;UTI;2;120000,00;Secretaria Municipal de Saúde (BELFORD ROXO);RJ;02/07/2020
26/06/2020;MAGNAMED;RIO DE JANEIRO;MUNICIPIO;TRANSPORTE;2;96580,00;Secretaria Municipal de Saúde (DUQUE DE CAXIAS);RJ;30/06/2020
26/06/2020;KTK;RIO DE JANEIRO;MUNICIPIO;UTI;2;120000,00;Secretaria Municipal de Saúde (DUQUE DE CAXIAS);RJ;30/06/2020
26/06/2020;MAGNAMED;RIO DE JANEIRO;MUNICIPIO;TRANSPORTE;2;96580,00;Secretaria Municipal de Saúde (ITAGUAÍ);RJ;02/07/2020
26/06/2020;KTK;RIO DE JANEIRO;MUNICIPIO;UTI;1;60000,00;Secretaria Municipal de Saúde (ITAGUAÍ);RJ;02/07/2020
26/06/2020;MAGNAMED;RIO DE JANEIRO;MUNICIPIO;TRANSPORTE;3;144870,00;Secretaria Municipal de Saúde (MAJÉ);RJ;02/07/2020
26/06/2020;KTK;RIO DE JANEIRO;MUNICIPIO;UTI;2;120000,00;Secretaria Municipal de Saúde (MAJÉ);RJ;02/07/2020
26/06/2020;MAGNAMED;RIO DE JANEIRO;MUNICIPIO;TRANSPORTE;5;241450,00;Secretaria Municipal de Saúde (NITÉROI);RJ;30/06/2020
26/06/2020;KTK;RIO DE JANEIRO;MUNICIPIO;UTI;5;300000,00;Secretaria Municipal de Saúde (NITÉROI);RJ;30/06/2020
26/06/2020;MAGNAMED;RIO DE JANEIRO;MUNICIPIO;TRANSPORTE;5;241450,00;Secretaria Municipal de Saúde (NOVA FRIBURGO);RJ;02/07/2020
26/06/2020;KTK;RIO DE JANEIRO;MUNICIPIO;UTI;5;300000,00;Secretaria Municipal de Saúde (NOVA FRIBURGO);RJ;02/07/2020
26/06/2020;MAGNAMED;RIO DE JANEIRO;MUNICIPIO;TRANSPORTE;2;96580,00;Secretaria Municipal de Saúde (NOVA IGUAÇU);RJ;02/07/2020
26/06/2020;KTK;RIO DE JANEIRO;MUNICIPIO;UTI;2;120000,00;Secretaria Municipal de Saúde (NOVA IGUAÇU);RJ;02/07/2020
26/06/2020;MAGNAMED;RIO DE JANEIRO;MUNICIPIO;TRANSPORTE;1;48290,00;Secretaria Municipal de Saúde (PARACAMBI);RJ;02/07/2020
26/06/2020;KTK;RIO DE JANEIRO;MUNICIPIO;UTI;1;60000,00;Secretaria Municipal de Saúde (PARACAMBI);RJ;02/07/2020
26/06/2020;MAGNAMED;RIO DE JANEIRO;MUNICIPIO;TRANSPORTE;1;48290,00;Secretaria Municipal de Saúde (QUEIMADOS);RJ;02/07/2020
26/06/2020;KTK;RIO DE JANEIRO;MUNICIPIO;UTI;1;60000,00;Secretaria Municipal de Saúde (QUEIMADOS);RJ;02/07/2020
26/06/2020;MAGNAMED;RIO DE JANEIRO;MUNICIPIO;TRANSPORTE;4;193160,00;Secretaria Municipal de Saúde (RIO BONITO);RJ;02/07/2020
26/06/2020;KTK;RIO DE JANEIRO;MUNICIPIO;UTI;4;240000,00;Secretaria Municipal de Saúde (RIO BONITO);RJ;02/07/2020
26/06/2020;MAGNAMED;RIO DE JANEIRO;MUNICIPIO;TRANSPORTE;8;386320,00;Secretaria Municipal de Saúde (SÃO JOÃO DO MERETI);RJ;02/07/2020
26/06/2020;KTK;RIO DE JANEIRO;MUNICIPIO;UTI;7;420000,00;Secretaria Municipal de Saúde (SÃO JOÃO DO MERETI);RJ;02/07/2020
26/06/2020;MAGNAMED;RIO DE JANEIRO;MUNICIPIO;TRANSPORTE;5;241450,00;Secretaria Municipal de Saúde (VOLTA REDONDA);RJ;02/07/2020
